account_code,transaction_type,amount,transaction_date
1600,credit,"353,22",2020-01-02
4152,debit,"353,22",2020-01-02
4143,debit,"427,9",2020-01-02
78507,credit,"353,22",2020-01-02
1776,credit,"325,69",2020-01-02
0990,debit,"2039,36",2020-01-02
8407,credit,"1713,67",2020-01-02
1576,debit,"82,35",2020-01-02
1001,credit,"510,25",2020-01-02
1600,credit,"527,22",2020-01-03
10316,credit,"79,43",2020-01-03
4925,debit,"443,02",2020-01-03
8401,debit,"1063,18",2020-01-03
1755,credit,"1601,33",2020-01-03
1201,debit,"79,43",2020-01-03
1600,credit,"1405,76",2020-01-03
1576,debit,"224,5",2020-01-03
1200,credit,"1,37",2020-01-03
1576,debit,"1,37",2020-01-03
1576,debit,"84,2",2020-01-03
1400,credit,"79,43",2020-01-03
79063,credit,"527,22",2020-01-03
1400,credit,"1265,18",2020-01-03
4615,debit,"1181,26",2020-01-03
10014,credit,"1265,18",2020-01-03
79042,credit,"1405,76",2020-01-03
1776,debit,"202,01",2020-01-03
4105,debit,"1601,33",2020-01-03
1400,debit,"309,83",2020-01-04
1776,credit,"49,48",2020-01-04
8402,credit,"848,68",2020-01-04
1400,debit,"1009,97",2020-01-04
8402,credit,"260,35",2020-01-04
10756,debit,"309,83",2020-01-04
1776,credit,"161,29",2020-01-04
11410,debit,"1009,97",2020-01-04
4970,debit,"620,08",2020-01-05
1200,credit,"620,08",2020-01-05
1776,debit,"60,15",2020-01-05
8407,debit,"317,29",2020-01-05
0990,credit,"377,44",2020-01-05
1591,debit,"1050,89",2020-01-06
1400,credit,"854,63",2020-01-06
1200,credit,"180,44",2020-01-06
1600,credit,"1773,32",2020-01-06
10565,credit,"854,63",2020-01-06
71529,credit,"1773,32",2020-01-06
10238,credit,"1050,89",2020-01-06
4970,debit,"1688,71",2020-01-06
1360,credit,"1688,71",2020-01-06
10728,debit,"9,71",2020-01-06
1776,credit,"1,55",2020-01-06
8402,credit,"8,16",2020-01-06
1776,debit,"136,48",2020-01-06
1576,debit,"282,84",2020-01-06
4964,debit,"1490,48",2020-01-06
10216,debit,"1217,56",2020-01-06
8401,credit,"1049,66",2020-01-06
1400,debit,"9,71",2020-01-06
1400,credit,"1050,89",2020-01-06
1775,credit,"167,9",2020-01-06
1400,debit,"1217,56",2020-01-06
8401,debit,"718,15",2020-01-06
4970,debit,"180,44",2020-01-06
1600,credit,"541,07",2020-01-07
4663,debit,"541,07",2020-01-07
1776,debit,"316,28",2020-01-07
10153,credit,"1980,49",2020-01-07
1400,credit,"1980,49",2020-01-07
8401,debit,"1664,21",2020-01-07
80009,credit,"541,07",2020-01-07
10853,debit,"1262,23",2020-01-08
1400,debit,"1262,23",2020-01-08
11282,debit,"820,47",2020-01-08
1775,credit,"58,11",2020-01-08
1776,credit,"201,58",2020-01-08
4910,debit,"1139,55",2020-01-08
11200,debit,"421,4",2020-01-08
